state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မကွေးခရိုင်,20.2859,95.2594,နတ်မောက်မြို့နယ်,20.35339,95.39966,နတ်မောက်မြို့,20.35339,95.39966,​​ကျောက်ဆည်ရွာ,20.39748764,95.67079163,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျောင်းကုန်းမြို့နယ်,17.10768,95.1904,ကျောင်းကုန်းမြို့,17.10768,95.1904,​ကျွန်းချောင်းရွာ,17.02014923,95.11799622,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျေးကံလှရွာ,17.20832253,95.28354645,,,
နေပြည်တော်ပြည်ထောင်စုနယ်မြေ,19.8747,96.1941,ဥတ္တရခရိုင်,20.0308,96.1153,တပ်ကုန်းမြို့နယ်,20.13041,96.20297,တပ်ကုန်းမြို့,20.13041,96.20297,​ကျေးချောင်းတောင်ရွာ,20.18305016,96.16454315,,,
နေပြည်တော်ပြည်ထောင်စုနယ်မြေ,19.8747,96.1941,ဒက္ခိဏခရိုင်,19.563,96.3419,ဒက္ခိဏသီရိမြို့နယ်,19.70026174,96.09049718,ဒက္ခိဏသီရိမြို့,19.70026174,96.09049718,​ကျေးစာဥရွာ,19.67911911,96.02957916,,,
ပဲခူးတိုင်းဒေသကြီး,18.327,95.444,ပြည်ခရိုင်,18.9141,95.3139,သဲကုန်းမြို့နယ်,18.65068,95.39094,ဆင်မြီးဆွဲမြို့,18.7369,95.3594,​ကျေးသားရွာ,18.59918022,95.33525085,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောက်ကြီးကွင်းရွာ,17.30800056,94.89311981,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ရေကြည်မြို့နယ်,17.35258,95.11993,ငသိုင်းချောင်းမြို့,17.39927,95.07731,​ကျောက်ကြီးကွင်းရွာ,17.30637932,94.89305878,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောက်ကြီးမျှောင်ရွာ,17.79817963,95.06263733,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောက်ကြီးရွာ,16.27132034,94.42429352,,,
